Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
435,-2,0,0,12,4,49,37,1,0,Loss
436,2,0,0,14,13,85,60,0,1,Win
437,2,0,0,9,14,55,76,0,1,Loss
438,1,0,0,9,4,57,0,0,1,Win
439,-1,0,0,2,11,46,0,1,0,Loss
440,1,0,0,7,4,65,43,0,1,Draw
441,-1,0,0,13,8,83,65,1,0,Win
442,0,0,0,13,12,60,57,0,0,Draw
443,0,1,0,5,9,43,55,1,0,Draw
444,0,0,0,14,12,0,49,0,0,Win
445,0,0,1,4,2,0,46,0,1,Win
446,-1,0,0,9,17,42,85,1,0,Loss
447,-1,0,0,8,14,65,87,1,0,Draw
448,0,0,0,9,6,39,43,0,1,Win
449,0,0,0,10,17,0,0,1,0,Loss
450,0,0,0,11,9,58,42,1,0,Draw
451,-1,0,0,20,20,85,76,1,0,Loss
452,1,0,0,10,7,55,0,0,1,Win
453,2,0,0,6,10,43,0,0,1,Win
454,0,0,0,17,12,60,58,1,0,Win
455,1,0,0,8,8,36,40,0,1,Win
456,-1,0,0,20,20,0,85,1,0,Loss
457,0,0,0,7,12,0,39,0,0,Win
458,0,0,0,19,5,83,46,1,0,Draw
459,0,0,0,8,9,37,65,1,0,Loss
460,0,0,0,23,14,76,57,0,0,Win
461,2,0,0,15,12,87,49,0,1,Win
462,0,0,0,10,13,42,55,0,0,Win
463,-1,0,0,13,12,42,49,1,0,Draw
464,-1,0,0,14,8,57,40,1,0,Loss
465,1,0,0,10,20,0,83,0,1,Win
466,-1,0,1,10,12,0,58,1,0,Draw
467,-1,0,0,6,26,46,76,1,0,Win
468,0,0,0,9,20,43,60,0,0,Win
469,0,0,0,8,13,37,55,0,0,Win
470,0,0,0,12,11,65,36,0,0,Win
471,3,0,0,23,12,85,39,0,1,Win
472,2,0,0,18,20,87,0,0,1,Win
473,1,0,0,20,21,83,87,0,1,Win
474,0,0,0,11,13,40,0,0,0,Draw
475,0,0,0,20,11,0,37,1,0,Loss
476,1,0,0,12,14,39,57,0,1,Loss
477,0,0,0,13,15,49,65,0,0,Loss
478,2,0,0,26,11,76,0,0,1,Win
479,-1,0,0,13,26,58,85,1,0,Loss
480,0,0,0,20,14,60,42,1,0,Loss
481,0,1,1,13,9,55,46,0,1,Loss
482,1,0,0,11,12,36,43,0,1,Win
483,1,0,0,14,12,36,46,0,1,Win
484,2,0,0,21,14,87,0,0,1,Win
485,-1,0,0,12,12,43,40,1,0,Draw
486,0,0,0,13,17,49,57,0,0,Draw
487,-3,0,0,11,29,0,85,1,0,Loss
488,-1,0,0,18,17,65,42,1,0,Draw
489,-1,0,0,20,13,0,55,0,1,Draw
490,-1,0,0,14,29,37,76,1,0,Loss
491,-1,0,0,23,20,83,60,1,0,Loss
492,1,0,0,13,12,58,39,0,1,Loss
493,1,0,0,14,23,55,83,0,1,Win
494,-2,0,0,18,14,42,37,1,0,Loss
495,0,0,0,13,19,40,65,0,0,Win
496,1,0,1,12,13,46,58,0,1,Win
497,-1,0,0,15,14,39,49,1,0,Loss
498,0,0,0,32,13,85,43,0,0,Draw
499,0,0,0,32,17,76,36,0,0,Draw
500,0,0,0,24,18,60,36,0,0,Draw
501,0,0,0,18,14,42,43,0,0,Draw
502,-1,0,0,17,22,0,0,1,0,Draw
503,-2,0,0,15,17,39,37,0,1,Loss
504,0,0,0,16,11,40,0,1,0,Win
505,-1,0,0,17,25,55,87,1,0,Loss
506,0,0,0,19,13,57,58,0,0,Win
507,0,0,0,15,19,46,65,1,0,Loss
508,1,0,0,33,23,85,83,0,1,Loss
509,0,0,0,13,34,58,76,1,0,Loss
510,-2,0,0,20,33,37,85,1,0,Loss
511,0,0,0,23,19,0,42,1,0,Win
512,2,0,0,15,18,43,0,0,1,Draw
513,0,0,0,19,17,36,55,1,0,Draw
514,1,0,0,26,19,83,40,0,1,Win
515,0,0,0,18,15,49,46,1,0,Loss
516,1,0,0,11,22,0,57,0,1,Draw
517,0,0,0,22,25,65,60,1,0,Loss
518,0,0,0,19,20,0,36,0,0,Draw
519,3,0,0,15,12,39,0,0,1,Win
520,2,0,0,19,13,40,58,0,1,Win
521,0,0,0,18,31,46,87,0,0,Draw
522,0,0,0,23,16,57,43,1,0,Loss
523,-1,0,0,36,18,85,49,1,0,Draw
524,0,0,0,19,29,42,83,1,0,Draw
525,1,0,0,28,20,60,37,1,0,Win
526,0,0,0,37,26,76,0,1,0,Draw
527,0,0,0,18,22,55,65,1,0,Loss
528,1,0,0,20,23,37,57,0,1,Win
529,1,0,0,21,20,36,42,0,1,Win
530,0,0,0,12,18,0,55,0,0,Win
531,0,0,0,19,19,43,46,0,1,Win
532,0,0,0,30,38,83,76,0,1,Draw
